0,0.5.0
1,0.6.0
2,v0.6.0
3,v0.7.0
4,v0.7.1
5,v0.8.0rc0
6,v0.8.0
7,v0.9.0rc0
8,v0.9.0
9,v0.10.0rc0
10,v0.10.0
11,v0.11.0rc0
12,v0.11.0rc1
13,v0.11.0rc2
14,v0.11.0
15,0.12.0-rc0
16,0.12.0-rc1
17,v0.12.0
18,0.12.1
19,v1.0.0-alpha
20,v1.0.0-rc0
21,v1.0.0-rc1
22,v1.0.0-rc2
23,v1.0.0
24,v1.0.1
25,v1.1.0-rc0
26,v1.1.0-rc1
27,v1.1.0-rc2
28,v1.1.0
29,v1.2.0-rc0
30,v1.2.0-rc1
31,v1.2.0-rc2
32,v1.2.0
33,v1.2.1
34,v1.3.0-rc0
35,v1.3.0-rc1
36,v1.3.0-rc2
37,v1.3.0
38,v1.3.1
39,v1.4.0-rc0
40,v1.4.0-rc1
41,v1.4.0
42,v1.4.1
43,v1.5.0-rc0
44,v1.5.0-rc1
45,v1.5.0
46,v1.6.0-rc0
47,v1.6.0-rc1
48,v1.6.0
49,v1.7.0-rc0
50,v1.7.0-rc1
51,v1.7.0
52,v1.8.0-rc0
53,v1.8.0-rc1
54,v1.8.0
55,v1.9.0-rc0
56,v1.9.0-rc1
57,v1.9.0-rc2
58,v1.9.0
59,v1.10.0-rc0
60,v1.10.0-rc1
61,v1.10.0
62,v1.10.1
63,v1.11.0-rc0
64,v1.11.0-rc1
65,v1.11.0-rc2
66,v1.11.0
67,v1.12.0-rc0
68,v1.12.0-rc1
69,v1.12.0-rc2
70,v1.12.0
71,v1.13.0-rc0
72,v1.13.0-rc1
73,v1.13.0-rc2
74,v1.13.0
75,v1.13.1
76,v2.0.0-alpha0
77,v2.0.0-beta0
78,v2.0.0-beta1
79,v2.0.0-rc0
80,v2.0.0-rc1
81,v2.0.0-rc2
82,v2.0.0
83,v2.1.0-rc0
84,v2.1.0-rc1
85,v2.1.0-rc2
86,v2.1.0
87,v2.2.0-rc0
88,v2.2.0-rc1
89,v2.2.0-rc2
90,v2.2.0-rc3
91,v2.2.0-rc4
92,v2.2.0
93,v2.3.0-rc0
94,v2.3.0-rc1
95,v2.3.0-rc2
96,v2.3.0
97,v2.3.1
98,v2.4.0-rc0
99,v2.4.0-rc1
100,v2.4.0-rc2
101,v2.4.0-rc3
102,v2.4.0-rc4
103,v2.4.0
104,v2.4.1
